content,wording,pred_content,pred_wording
-1.5471632,-1.4612448,-1.4442816,-1.1022606
-0.21709985,-0.5011003,0.073591605,-0.6101654
0.0888824,-0.5947101,-0.40330967,-0.48067462
-0.15345405,0.16854407,0.19173202,0.5789275
1.9585283,2.22232,1.5590372,1.675195
0.50432914,0.29941803,1.2855984,1.4718016
-0.8105736,-1.4658192,-1.42521,-1.1920704
0.78260905,1.4247242,-0.2689781,-0.18957481
0.2056825,0.38053763,0.17236826,0.49826562
-0.9216247,-1.2136114,-1.2934633,-1.2500336
-0.9812649,-1.5489002,-1.1680171,-1.1394469
-1.3764719,-1.3781638,-1.2707998,-1.2819027
-0.17315708,-0.12851955,0.25460744,0.6353286
-0.104305305,0.13979189,-0.7586508,-0.020148622
-0.5483041,0.50675535,-0.16344857,0.29755032
-0.5913971,0.0919989,-0.18568411,0.0355263
3.4967399,3.6084409,2.3852499,1.8515913
-0.45695597,-0.042516176,-0.53554255,0.2090863
-1.2959219,-0.6205121,-0.8210655,-0.48595044
-0.06210593,-0.38072744,0.17528579,0.45804262
0.2056825,0.38053763,0.21932703,-0.4229325
1.1679345,1.9634669,1.3149117,1.1388263
0.0506886,0.26016477,-0.09081626,-0.047769252
-1.7298595,-0.36270177,-0.6363709,-0.4579057
0.2056825,0.38053763,0.070837095,0.47824338
-0.62212837,-1.3369067,-1.5232344,-1.0127033
-0.39331016,0.62712824,-0.36589703,0.20042634
-0.40749425,-0.8812449,-1.1856565,-0.60934365
-0.066111505,-0.715083,-0.8423258,-0.600002
-0.55199665,-0.63757676,0.03460949,0.1930826
2.2359583,3.389802,1.5308232,1.741591
-0.37209374,-0.6214732,-0.40886596,-0.14891551
-0.23226056,0.30399245,0.2503043,0.511996
-1.264214,-1.5050725,-1.2918456,-1.1581707
-1.5471632,-1.4612448,-0.8542105,-1.2169111
0.45571712,1.0959711,0.9952242,1.3590268
0.38837874,-0.7180054,0.39995784,-0.14084698
-1.1449336,-0.8344948,-0.67033005,0.021249872
1.4672009,-0.5985936,1.1475152,0.31731138
1.4394985,0.62032235,1.4676627,1.507849
-1.0812879,-0.1648504,-0.806171,-0.3867058
-0.29644307,-1.1334528,-0.16473827,-0.1147023
0.37637386,0.4636186,0.4393648,0.42038453
0.26532272,0.7158265,0.74408543,0.32333532
0.87395716,0.87545264,0.8717248,0.64904743
3.0056424,3.2262924,2.816481,2.6077816
3.5032258,3.6381264,2.5001912,2.525746
-1.264214,-1.5050725,-1.5947707,-0.9463076
0.79830647,1.3874322,0.5944113,0.42441532
-0.0024657138,-0.045438595,0.213902,0.3853549
0.2056825,0.38053763,0.40045843,0.62859035
-0.6236417,0.20875841,-0.3546055,-0.65106463
0.49965987,1.4685519,1.1923203,1.2928138
-0.06210593,-0.38072744,-0.55675006,0.01467043
0.2056825,0.38053763,0.5018325,0.7806008
1.6590319,2.3456154,1.532088,1.6538286
0.2056825,0.38053763,0.3397368,0.60384005
-0.68728757,-0.460886,-0.3315741,0.1267303
0.076877534,0.5869139,0.1881676,0.32809728
-1.0129728,-0.66433984,-1.0765053,-0.9966578
1.4443978,1.8899536,0.7446109,0.9544816
-1.3485396,-0.15831462,-1.1247097,-0.91353774
-0.9812649,-1.5489002,-1.348889,-1.095865
-0.16394553,-0.19549698,-0.584394,-0.85752726
2.503517,1.7123019,1.6552858,1.7221489
-1.5471632,-1.4612448,-1.0304835,-1.03296
-1.264214,-1.5050725,-0.8601648,-0.9167832
0.2056825,0.38053763,0.041365787,-0.22531298
-0.24880774,0.38346004,0.94484675,1.391619
-0.34906065,-0.6712553,-0.24280334,-0.06007152
0.2056825,0.38053763,-0.057484113,0.16988526
-0.0024657138,-0.045438595,0.50928223,0.73807436
-0.12575172,-1.0503719,-0.3797557,-0.2738921
-0.0024657138,-0.045438595,0.004213841,0.18611166
0.29703063,-0.1687339,-0.22052631,-0.45573732
-1.5471632,-1.4612448,-1.1325729,-1.0741533
-0.0024657138,-0.045438595,-0.016536357,0.19618852
-0.50405455,-0.7916282,-1.1333727,-0.41278687
-0.451437,-1.2538257,-0.7140195,-0.53781384
-0.5110772,-1.5891145,-0.3973432,-0.62826604
0.2056825,0.38053763,0.3185335,0.7935636
-0.15345405,0.16854407,-0.6582321,-0.23215117
0.38837874,-0.7180054,0.017321253,-0.10710739
-0.39331016,0.62712824,0.23483846,0.5943728
0.0888824,-0.5947101,-0.820702,-0.4785418
0.2056825,0.38053763,0.32943946,0.7869983
-0.6817686,-1.6721956,-0.525321,-0.11317204
-0.9812649,-1.5489002,-0.6962801,-1.0581208
-0.09381383,0.50383294,-0.18730715,0.43356967
0.5313678,0.58399147,0.32280806,0.12127929
-1.5471632,-1.4612448,-1.2864487,-1.2655542
1.1956369,0.74455094,0.68043715,0.3574963
-0.56400156,0.5440473,-0.5937897,-0.259225
-0.5230821,-0.40749052,-0.48447245,-0.6861163
1.7438941,1.7666584,1.9188128,1.7288257
2.5352247,0.82774144,2.03551,1.6306884
-0.9812649,-1.5489002,-1.2160587,-1.1830956
1.0446485,0.9585336,1.2298528,1.3480283
-1.0338825,-1.0867027,-1.1338491,-0.79437613
-0.40870088,-1.0065441,-1.084882,-1.3698466
-1.5471632,-1.4612448,-1.5340234,-1.292786
-0.6817686,-1.6721956,-0.85758686,-0.8649901
-1.2531859,-0.3732306,-0.15169744,0.3570225
0.8143169,0.54016376,0.90303355,1.2969956
-0.67625934,0.6709559,0.5917614,0.5130031
2.4241736,1.0799494,1.4570652,1.1250515
-0.09381383,0.50383294,-0.29981977,0.111720696
0.87395716,0.87545264,0.81099933,0.7219682
0.9850083,0.62324476,1.2453598,1.2881833
-0.5849112,0.121684395,-0.58214575,-0.25842196
-0.8192484,-0.631041,-0.5328283,-0.6284602
1.5357459,1.3406821,0.7904948,1.1022317
0.5313678,0.58399147,1.0431795,0.9539772
0.99701315,-0.5583793,0.540111,-0.16249801
-0.5483041,0.50675535,-0.35945758,0.1621466
-0.826271,-1.4285274,-0.49127066,-0.34038037
-0.09381383,0.50383294,-0.4347939,-0.032360647
1.1734535,0.75215733,1.5668411,1.5527501
1.8297232,2.4286964,1.990533,2.0425868
-0.23680286,-0.79816395,-0.6306053,-0.7175504
-0.9812649,-1.5489002,-1.1688462,-1.1658411
-0.6817686,-1.6721956,-0.5129667,-1.0955853
1.0169462,2.1774495,0.5083241,0.84096795
-1.5471632,-1.4612448,-1.2759645,-1.2229917
-1.1618377,-0.9225021,-0.98034567,-0.5641561
0.29703063,-0.1687339,0.46275428,0.52085423
0.2056825,0.38053763,0.464187,1.0030377
-1.5471632,-1.4612448,-0.8199841,-1.1967114
1.1734535,0.75215733,0.9068787,1.2371074
2.5666258,1.6141454,1.261141,1.8329865
0.11433439,0.92980915,0.5723291,0.71516347
-0.60242534,-1.039843,-0.3888607,-0.18201056
0.38837874,-0.7180054,0.22555137,-0.03295097
1.504038,2.2252426,1.092963,1.3317087
-1.2476668,-1.5845401,-0.637189,-0.95466655
1.5102938,-0.18383716,0.3438705,0.40203446
-0.36560783,-0.5917877,-0.76021236,-1.0403543
0.82534516,1.6720057,0.39051506,0.8110137
-0.328151,-0.24889243,-0.24302526,0.39074647
-0.0024657138,-0.045438595,0.33174774,0.5391734
-0.06210593,-0.38072744,-0.11693789,-0.23961206
-0.9216247,-1.2136114,-1.0826571,-0.71330166
-1.264214,-1.5050725,-1.3796043,-1.0265388
-1.140928,-0.50013924,-0.6817766,-0.058559705
-0.8105736,-1.4658192,-1.3437867,-1.3435466
-0.09381383,0.50383294,-0.4985489,-0.04346117
-0.04088951,-1.6293288,-1.2556753,-1.2527742
-0.9702367,-0.4170583,-0.84995025,-0.6700481
-0.8035509,-0.6683329,-0.5536808,-0.39376223
1.4674308,1.8401716,1.0596476,0.9093309
-0.45695597,-0.042516176,-0.33654687,0.0015170126
1.6907398,1.461055,2.0377681,1.4382977
-0.06210593,-0.38072744,-0.87164223,-0.2814398
1.3880876,1.2078191,1.770313,1.7954557
3.2037294,3.7614217,1.8879157,2.0113697
0.7386663,1.0521433,0.9291123,0.71273196
-0.12575172,-1.0503719,-0.8231818,-0.99036205
0.38837874,-0.7180054,0.46095297,0.8851398
-0.9367854,-0.40851855,-0.76897585,-0.32072207
-0.09381383,0.50383294,0.41522455,0.42137456
-0.97424227,-0.7514138,-1.0104513,-0.38108206
0.29703063,-0.1687339,0.2416408,0.70813966
-0.8619845,-0.8783225,-0.59248465,-0.5137801
0.38837874,-0.7180054,-0.353379,-0.21125127
0.44001967,1.133263,0.7101854,0.98009706
-0.41398013,-0.9109304,-0.5155379,-0.41482708
-1.5471632,-1.4612448,-0.78316456,-0.19092888
-1.140928,-0.50013924,-0.71670455,-0.65829587
1.2051613,-0.13240305,0.37717712,0.38258573
1.4991387,0.95561117,0.7871949,-0.045770552
3.3482318,3.5177534,2.187569,2.4701598
-1.5471632,-1.4612448,-1.2201458,-1.0842865
0.87395716,0.87545264,0.9815183,1.2243581
0.37637386,0.4636186,0.7805633,1.0652153
-1.5471632,-1.4612448,-0.913366,-1.3132268
-0.0024657138,-0.045438595,-0.36201194,0.041775268
-0.54745436,0.46457967,0.48331514,0.8171991
0.0506886,0.26016477,0.014395857,0.72991776
0.5590701,-0.6349245,0.6922828,0.38340464
-1.1449336,-0.8344948,-0.49295682,-0.6104523
-0.62764734,-0.12559713,-0.4545783,0.033905838
-0.15745962,-0.16581146,-0.12005757,-0.3523954
-1.264214,-1.5050725,-0.7729334,-0.78060985
3.3699913,3.8979406,2.6484582,2.7055357
-1.4278828,-0.7906671,-1.1593537,-0.99995106
-1.1880267,-1.2492512,-1.4020721,-1.1769807
0.467722,-0.08565293,-0.051533073,0.64920396
-0.78264123,-0.24597001,-0.38210014,-0.21677154
-0.30844796,0.0481712,-0.5420131,-0.31197223
-0.9216247,-1.2136114,-1.6076671,-1.1177526
0.99724317,1.8803859,0.87726426,1.0761307
0.0888824,-0.5947101,-0.8310293,-0.94575477
0.29703063,-0.1687339,-0.22926117,0.28309315
-0.5483041,0.50675535,0.065824814,0.4709642
-1.264214,-1.5050725,-0.75535417,-0.61654264
-0.3813053,-0.5544958,-0.6483489,-0.102039106
-0.9019217,-0.9165477,-1.0613588,-1.0782149
-1.2045739,-1.1697837,-0.6998552,-0.39968988
0.63841337,-0.0025719695,0.54151005,-0.30446553
-0.7399051,0.0013115215,0.09284596,0.581298
-1.5471632,-1.4612448,-0.59887195,-1.2063065
-0.39331016,0.62712824,-0.1678448,-0.05161177
0.6061687,0.114187546,0.56381094,-0.015306106
1.4077907,1.5048827,1.163309,0.9641138
-1.487523,-1.1259559,-0.67285806,-0.4265266
-0.2645052,0.42075196,-0.23644528,0.046065982
1.898888,1.8870312,1.3550379,1.5370108
0.029472176,1.5087662,0.11627218,0.62154216
-0.30196205,0.0778567,0.20532945,-0.08159087
-0.9812649,-1.5489002,-0.818682,-0.8417219
-0.066111505,-0.715083,-0.46769515,-0.14540383
1.5517564,0.49341366,0.8556827,0.15283673
-1.1639612,-0.45035717,-1.2799832,-1.0658295
1.7224476,0.57649463,1.2475537,0.62123555
0.52002656,0.26212612,0.3864646,0.22677931
-0.17315708,-0.12851955,-0.026986523,0.14284334
0.2056825,0.38053763,0.31724373,0.12489664
-0.09381383,0.50383294,0.18174441,0.6025166
-0.78264123,-0.24597001,-0.27017707,-0.042294778
0.5590701,-0.6349245,0.21852703,0.05152971
0.29703063,-0.1687339,0.24490142,0.25386897
-0.15345405,0.16854407,-0.12664852,0.40019912
-0.6747459,-0.8747091,-1.0253086,-0.616804
2.0815842,0.7884882,1.1353701,0.46341437
-0.29644307,-1.1334528,-0.9926511,-0.7783235
-1.5471632,-1.4612448,-0.4978426,-1.3581002
-0.9812649,-1.5489002,-1.2353312,-0.9574025
0.029242186,-0.929999,-0.6004284,-0.47352064
-1.5471632,-1.4612448,-0.40507144,-1.1840627
-0.09381383,0.50383294,0.08309519,0.7335456
-0.21709985,-0.5011003,-0.6730384,-0.37644905
-0.45695597,-0.042516176,-0.502031,-0.16395164
-1.264214,-1.5050725,-1.0496429,-0.60373247
-1.2045739,-1.1697837,-0.9330177,-0.48030606
0.29703063,-0.1687339,-0.13805455,-0.114900954
-0.9812649,-1.5489002,-1.6196407,-1.3177245
-0.8105736,-1.4658192,-1.1840211,-1.0708479
-0.746391,-0.028373979,-0.48879454,0.075227655
0.09463136,0.63274556,0.580239,0.84719086
0.29703063,-0.1687339,-0.20524389,-0.004229963
0.85705304,0.7874453,0.92079216,1.002501
0.87395716,0.87545264,0.77434164,0.9356198
2.1621342,1.54614,1.9821099,2.2037945
0.4360141,0.79890746,0.8538447,1.0536323
-0.9702367,-0.4170583,-0.65333354,0.09050124
3.0208032,2.4211996,1.821292,1.9177935
-0.6912931,-0.79524153,-0.8932474,-0.7358728
-0.21709985,-0.5011003,0.21983525,-0.056681212
-0.034173615,0.8391218,0.44520235,0.81078064
-1.3764719,-1.3781638,-0.61707634,-0.97565776
-0.36560783,-0.5917877,-0.80315024,-0.2987718
-0.9812649,-1.5489002,-0.69968796,-0.5149565
0.0888824,-0.5947101,0.24223652,-0.12566271
-0.328151,-0.24889243,-0.7099102,-0.25814804
-0.5110772,-1.5891145,-1.2057045,-0.54699934
1.8140258,2.4659882,1.2735581,1.347697
-0.45695597,-0.042516176,-0.3734779,0.031678025
-0.45695597,-0.042516176,-0.79796135,-0.3616288
1.4674308,1.8401716,1.3641682,1.5508902
-0.8192484,-0.631041,-0.5367343,-0.5904225
-0.23680286,-0.79816395,-1.0385025,-0.8447669
-1.2045739,-1.1697837,-0.8879441,-0.18696718
0.75067115,-0.12948063,0.4714814,0.57217103
0.23187144,0.7072868,0.74889725,0.019957757
0.467722,-0.08565293,-0.20275044,0.021963004
-0.87888855,-0.9663298,-0.5962576,-1.1136425
0.2056825,0.38053763,0.382458,0.7200975
-0.8619845,-0.8783225,-0.82779294,-0.15976033
-0.29644307,-1.1334528,-0.17536296,-0.2979058
-0.9216247,-1.2136114,-1.1277992,-0.8923191
-0.09381383,0.50383294,0.02946625,0.47107464
-0.15745962,-0.16581146,-0.33742952,-0.0050609857
-1.0019445,0.4675021,-0.5466227,-0.11441854
-1.487523,-1.1259559,-1.1961372,-1.0273597
0.78260905,1.4247242,0.6236847,0.9055133
-0.09381383,0.50383294,-0.2610414,0.004235656
-1.072613,-0.99962866,-1.4623281,-1.138018
-0.0024657138,-0.045438595,0.05355853,0.48890677
1.1996424,1.0789064,0.89462996,0.8783494
0.3606764,0.5009105,0.67327696,0.6460028
2.3645334,0.7446605,1.8334123,1.5760255
0.2056825,0.38053763,0.35655016,0.40401018
-0.39331016,0.62712824,-0.42114183,0.33813944
0.29703063,-0.1687339,-0.039885953,0.18456738
2.1723127,2.7201576,1.3966815,1.3313015
0.0888824,-0.5947101,-0.32986912,0.24038178
-0.028654648,-0.37218773,-0.4169963,-0.16283385
-0.96471775,-1.6283678,-0.68912977,-0.7876827
-1.264214,-1.5050725,-1.363404,-1.2551622
-0.8853745,-0.9960153,-1.3436753,-1.2736
1.5200484,1.377974,1.6339165,1.5200369
-0.9812649,-1.5489002,-1.5886095,-1.4057134
0.99724317,1.8803859,1.7264111,1.8162581
0.022756282,-0.9596845,-0.58741397,-0.45295152
0.2475689,0.66999483,0.9701542,1.5834829
0.29703063,-0.1687339,0.18655004,0.27548024
0.2056825,0.38053763,0.32386377,0.7158312
-0.7940264,-1.5452869,-1.5466076,-1.3884194
-0.39331016,0.62712824,-0.6814259,-0.034905974
0.9533004,1.5078051,0.95219374,1.0491486
-0.09381383,0.50383294,-0.19347486,0.24181865
-1.5192308,-0.24139558,-0.4691948,0.19576696
-0.9812649,-1.5489002,-1.1643776,-0.8670644
0.2056825,0.38053763,-0.69946057,-0.17883617
-0.8105736,-1.4658192,-1.082927,-0.38028574
0.37637386,0.4636186,0.2802875,0.5438174
0.0888824,-0.5947101,0.16538562,0.33884442
2.1928654,2.9750454,1.8639976,1.9417555
-0.09381383,0.50383294,0.36215317,0.23464076
0.2056825,0.38053763,0.26184967,0.6945131
1.8417281,1.2470723,1.7960895,0.85186553
-1.5471632,-1.4612448,-1.3885565,-1.1570507
-0.328151,-0.24889243,-0.3570795,0.15654129
-0.9812649,-1.5489002,-1.5195056,-1.2646646
-0.09381383,0.50383294,-0.37831756,0.15210108
-0.5362992,-0.67486864,-0.7242348,-0.9592713
